avg_gpm,avg_level,avg_K,avg_D,avg_A,avg_xpm,avg_hero_damage,avg_tower_damage,win_rate,pick_rate,league,hero,pick,ban
535.7692307692307,20.884615384615383,8.653846153846153,2.730769230769231,5.576923076923077,580.1538461538462,11679.038461538461,3987.269230769231,0.6153846153846154,0.030952380952380953,1,1,26,0
211.2,13.56,2.8,5.2,12.76,252.68,6606.68,542.28,0.56,0.02976190476190476,1,5,25,0
396.5,15,3.875,3.875,3.875,410.25,6905.625,2266.5,0.375,0.009523809523809525,1,6,8,0
191.89743589743588,13.179487179487179,2.4358974358974357,4.9743589743589745,11.692307692307692,227.28205128205127,7718.307692307692,240.87179487179486,0.5384615384615384,0.04642857142857143,1,7,39,0
379.8863636363636,18.5,6.681818181818182,3.8636363636363638,8.068181818181818,426.52272727272725,11518.34090909091,2434.431818181818,0.6363636363636364,0.05238095238095238,1,9,44,0
449.85714285714283,19.428571428571427,7.142857142857143,4,5,473,13588.42857142857,3151.5714285714284,0.42857142857142855,0.008333333333333333,1,10,7,0
226.25,15.75,2.25,5,2.75,280.5,4473,286.25,0.25,0.004761904761904762,1,11,4,0
305.5416666666667,16.291666666666668,4.75,4.833333333333333,9.166666666666666,355.5416666666667,10028,593.875,0.375,0.02857142857142857,1,13,24,0
304.7142857142857,15.714285714285714,8.285714285714286,4.428571428571429,11.571428571428571,371.85714285714283,11451.142857142857,937.7142857142857,0.7142857142857143,0.008333333333333333,1,14,7,0
323.6,15.6,7,3.2,7.6,341.4,13870.4,1194,0.6,0.005952380952380952,1,15,5,0
223.8125,16.125,4.125,4.875,10.5,291.875,7954.0625,499,0.625,0.01904761904761905,1,16,16,0
384.6923076923077,18.615384615384617,7.461538461538462,4.153846153846154,9.923076923076923,478.15384615384613,11934.923076923076,1125.5384615384614,0.5384615384615384,0.015476190476190477,1,17,13,0
189.8095238095238,13.142857142857142,2.4285714285714284,6.285714285714286,7.714285714285714,230.14285714285714,5522.761904761905,601.8571428571429,0.23809523809523808,0.025,1,18,21,0
289.6,14.4,6,4.8,8.4,279.6,9603,1345.6,0.6,0.005952380952380952,1,19,5,0
153.875,11.770833333333334,1.75,7.6875,9.583333333333334,191.29166666666666,4952.979166666667,245.22916666666666,0.2916666666666667,0.05714285714285714,1,20,48,0
303.7142857142857,16.285714285714285,4.061224489795919,4.142857142857143,8.408163265306122,348.7142857142857,8778.897959183674,1165.469387755102,0.4897959183673469,0.058333333333333334,1,21,49,0
200,14,3,5.5,6,348,17376.5,17,0,0.002380952380952381,1,22,2,0
